NAME,2017 Aug W34,2017 Aug W35,2017 Dec W49,2017 Dec W50,2017 Dec W51,2017 Dec W52,2017 Dec W53,2017 Nov W45,2017 Nov W46,2017 Nov W47,2017 Nov W48,2017 Oct W40,2017 Oct W41,2017 Oct W42,2017 Oct W43,2017 Oct W44,2017 Sep W36,2017 Sep W37,2017 Sep W38,2017 Sep W39,2018 Apr W13,2018 Apr W14,2018 Apr W15,2018 Apr W16,2018 Apr W17,2018 Aug W31,2018 Aug W32,2018 Aug W33,2018 Aug W34,2018 Dec W48,2018 Dec W49,2018 Dec W50,2018 Dec W51,2018 Dec W52,2018 Feb W05,2018 Feb W06,2018 Feb W07,2018 Feb W08,2018 Jan W01,2018 Jan W02,2018 Jan W03,2018 Jan W04,2018 Jul W26,2018 Jul W27,2018 Jul W28,2018 Jul W29,2018 Jul W30,2018 Jun W22,2018 Jun W23,2018 Jun W24,2018 Jun W25,2018 Mar W09,2018 Mar W10,2018 Mar W11,2018 Mar W12,2018 May W18,2018 May W19,2018 May W20,2018 May W21,2018 Nov W44,2018 Nov W45,2018 Nov W46,2018 Nov W47,2018 Oct W40,2018 Oct W41,2018 Oct W42,2018 Oct W43,2018 Sep W35,2018 Sep W36,2018 Sep W37,2018 Sep W38,2018 Sep W39,2019 Apr W14,2019 Apr W15,2019 Apr W16,2019 Apr W17,2019 Aug W31,2019 Aug W32,2019 Aug W33,2019 Aug W34,2019 Dec W48,2019 Dec W49,2019 Dec W50,2019 Dec W51,2019 Dec W52,2019 Feb W05,2019 Feb W06,2019 Feb W07,2019 Feb W08,2019 Jan W01,2019 Jan W02,2019 Jan W03,2019 Jan W04,2019 Jul W27,2019 Jul W28,2019 Jul W29,2019 Jul W30,2019 Jun W22,2019 Jun W23,2019 Jun W24,2019 Jun W25,2019 Jun W26,2019 Mar W09,2019 Mar W10,2019 Mar W11,2019 Mar W12,2019 Mar W13,2019 May W18,2019 May W19,2019 May W20,2019 May W21,2019 Nov W44,2019 Nov W45,2019 Nov W46,2019 Nov W47,2019 Oct W40,2019 Oct W41,2019 Oct W42,2019 Oct W43,2019 Sep W35,2019 Sep W36,2019 Sep W37,2019 Sep W38,2019 Sep W39,2020 Apr W14,2020 Apr W15,2020 Apr W16,2020 Apr W17,2020 Aug W31,2020 Aug W32,2020 Aug W33,2020 Aug W34,2020 Aug W35,2020 Dec W49,2020 Dec W50,2020 Dec W51,2020 Dec W52,2020 Feb W05,2020 Feb W06,2020 Feb W07,2020 Feb W08,2020 Jan W01,2020 Jan W02,2020 Jan W03,2020 Jan W04,2020 Jul W27,2020 Jul W28,2020 Jul W29,2020 Jul W30,2020 Jun W23,2020 Jun W24,2020 Jun W25,2020 Jun W26,2020 Mar W09,2020 Mar W10,2020 Mar W11,2020 Mar W12,2020 Mar W13,2020 May W18,2020 May W19,2020 May W20,2020 May W21,2020 May W22,2020 Nov W44,2020 Nov W45,2020 Nov W46,2020 Nov W47,2020 Nov W48,2020 Oct W40,2020 Oct W41,2020 Oct W42,2020 Oct W43,2020 Sep W36,2020 Sep W37,2020 Sep W38,2020 Sep W39,2021 Apr W14,2021 Apr W15,2021 Apr W16,2021 Apr W17,2021 Aug W31,2021 Aug W32,2021 Aug W33,2021 Aug W34,2021 Aug W35,2021 Dec W49,2021 Dec W50,2021 Dec W51,2021 Dec W52,2021 Feb W06,2021 Feb W07,2021 Feb W08,2021 Feb W09,2021 Jan W01,2021 Jan W02,2021 Jan W03,2021 Jan W04,2021 Jan W05,2021 Jul W27,2021 Jul W28,2021 Jul W29,2021 Jul W30,2021 Jun W23,2021 Jun W24,2021 Jun W25,2021 Jun W26,2021 Mar W10,2021 Mar W11,2021 Mar W12,2021 Mar W13,2021 May W18,2021 May W19,2021 May W20,2021 May W21,2021 May W22,2021 Nov W45,2021 Nov W46,2021 Nov W47,2021 Nov W48,2021 Oct W40,2021 Oct W41,2021 Oct W42,2021 Oct W43,2021 Oct W44,2021 Sep W36,2021 Sep W37,2021 Sep W38,2021 Sep W39,2022 Apr W14,2022 Apr W15,2022 Feb W06,2022 Feb W07,2022 Feb W08,2022 Feb W09,2022 Jan W01,2022 Jan W02,2022 Jan W03,2022 Jan W04,2022 Jan W05,2022 Mar W10,2022 Mar W11,2022 Mar W12,2022 Mar W13
Avalanche (AVAX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.78,33.99,21.83,31.81,15.83,18.08,43.8,50.12,47.15,86.23,115.84,114.99,114.23,44.15,35.82,25.76,24.9,,12.82,12.88,12.01,18.1,12.02,10.96,11.17,13.51,13.49,13.38,10.3,11.58,30.86,34.2,27.63,28.18,38.3,34.47,18.8,16.16,17.24,97.41,125.75,113.36,93.17,60.65,57.54,65.35,62.24,78.63,57.17,68.9,68.28,69.25,84.55,77.11,81.12,85.05,81.7,76.65,83.9,93.07,59.85,71.8,77.14,70.96,89.56,85.96,96.18
Binance (BNB),,,2.65,4.64,4.4,7.59,22.6,,1.67,1.87,2.08,,,,,,,,,,12.5,13.27,13.35,15.2,14.43,11.67,9.88,10.1,11.48,4.63,4.55,5.83,5.65,5.97,9.24,11.66,9.09,10.24,22.09,16.11,13.4,9.75,14.13,12.09,12.18,14.66,13.85,16.03,15.76,15.58,14.74,7.65,8.94,13.17,11.04,12.93,14.33,12.73,14.68,9.59,7.85,5.2,5.28,9.68,9.92,9.73,9.58,9.52,10.06,10.25,10.0,10.41,18.62,24.89,22.42,22.9,29.6,27.45,26.44,21.22,15.63,14.53,13.34,13.71,13.85,8.9,9.1,10.73,11.75,5.86,6.53,6.95,6.87,31.46,31.07,27.7,27.74,31.7,32.71,37.96,35.49,32.61,14.47,15.95,15.15,16.97,19.06,20.85,28.87,35.12,33.3,19.76,20.1,16.29,15.68,17.2,18.17,18.93,20.19,22.48,21.1,21.14,15.75,15.71,13.81,16.62,16.22,17.51,22.92,23.01,22.2,22.94,19.47,28.14,33.3,33.59,38.23,21.76,24.28,22.03,19.28,14.94,17.81,16.96,18.24,17.62,17.13,19.8,21.62,16.81,16.06,15.13,15.56,20.24,10.13,12.11,12.18,13.76,16.81,16.05,16.47,17.73,17.56,27.76,27.91,30.5,29.16,29.73,28.38,30.23,30.64,28.51,28.5,27.2,26.2,28.18,472.25,515.13,497.5,619.84,356.28,408.91,448.64,486.01,497.4,563.24,534.2,547.33,527.4,133.07,254.36,225.07,226.26,43.83,43.1,40.92,44.76,72.58,316.07,300.31,303.15,332.41,343.23,334.19,279.45,299.25,275.89,264.1,269.32,321.53,646.18,562.85,299.25,304.76,390.09,649.5,604.28,600.3,568.62,421.69,465.12,485.4,528.2,636.3,405.1,410.7,349.51,427.22,426.83,413.79,403.2,399.7,373.31,384.7,429.32,494.67,358.5,389.29,413.99,372.4,400.0,416.08,436.82
Bitcoin (BTC),"4,352.3","4,573.8","14,843.4","19,345.5","14,396.5","12,531.5","17,172.3","6,339.9","7,780.9","8,754.7","10,912.7","4,435.8","5,824.7","6,006.6","5,726.6","7,363.8","4,335.1","3,698.9","3,788.0","4,360.6","6,905.7","8,004.4","8,923.1","9,352.4","9,853.5","6,231.6","6,379.1","6,734.8","7,189.6","3,430.4","3,228.7","3,964.4","3,706.8","3,785.4","8,559.6","11,073.5","9,704.3","11,402.3","14,292.2","12,858.9","11,467.5","9,241.1","6,765.5","6,254.8","7,408.7","8,234.1","7,014.3","7,515.8","6,505.8","6,167.3","6,398.9","8,762.0","7,874.9","8,547.4","6,938.2","8,459.5","8,245.1","7,361.3","7,646.6","6,427.1","5,621.8","3,920.4","4,196.2","6,321.7","6,572.2","6,494.2","6,386.2","6,184.3","6,519.0","6,729.6","6,603.9","6,596.3","5,051.8","5,290.2","5,265.9","5,830.9","11,314.5","10,218.1","10,131.0","9,594.4","7,510.9","7,080.8","7,156.2","7,321.5","7,376.8","3,661.4","3,616.8","4,120.4","3,823.1","3,597.2","3,677.8","3,570.9","3,502.5","11,364.9","10,826.7","9,492.1","10,815.7","7,901.4","8,812.5","10,721.7","11,906.5","11,268.0","3,944.3","4,006.4","4,002.5","4,111.8","5,046.2","7,190.3","7,262.6","8,027.4","8,545.7","8,804.5","8,497.3","7,324.1","7,546.6","8,304.4","7,957.3","9,230.6","9,300.6","10,461.1","10,337.3","9,993.0","8,208.5","8,127.3","6,867.8","7,230.8","7,540.4","8,966.3","11,764.3","11,845.3","11,661.3","11,468.1","10,092.2","18,808.9","23,844.0","26,454.4","32,193.3","9,895.5","9,907.7","9,655.7","8,543.7","8,024.1","8,916.3","8,341.6","9,381.6","9,233.3","9,170.2","9,704.1","11,803.1","9,471.3","9,358.8","9,008.3","9,134.4","8,887.8","5,182.7","6,186.2","6,233.7","6,857.4","9,554.6","9,379.5","9,177.0","9,692.5","9,669.6","14,828.4","16,071.0","18,687.2","17,730.7","19,146.5","11,298.4","11,362.1","13,117.2","13,797.3","10,441.9","11,081.8","10,727.9","10,544.2","59,748.4","60,041.9","50,088.9","57,807.1","44,614.2","47,081.5","48,875.8","48,897.1","49,918.4","49,314.5","46,856.2","50,406.4","47,738.0","47,168.7","55,923.7","46,136.7","48,855.6","40,151.9","36,019.5","32,088.9","34,283.1","39,256.6","33,510.6","31,518.6","33,824.8","41,553.7","35,467.5","35,513.4","32,243.4","34,742.8","61,195.3","58,093.4","55,862.9","57,059.9","58,840.1","46,708.8","37,448.3","34,584.6","35,520.0","64,398.6","59,717.6","54,765.9","49,195.2","54,942.5","60,861.1","61,312.5","61,840.1","61,483.9","45,161.9","48,306.7","42,686.8","47,666.9","42,767.0","40,195.0","42,205.2","40,090.3","39,115.5","39,395.8","41,672.0","43,097.0","35,075.2","38,170.8","41,412.1","38,814.3","42,233.0","44,548.0","45,811.0"
Cardano (ADA),,,,,,,10.358,,,,,,,,,,,,,,0.1467,0.2074,0.2859,0.3592,0.3686,0.1103,0.0983,0.094,0.107,0.0302,0.0281,0.0416,0.0403,0.044,0.381,0.4172,0.2991,0.2935,0.879,0.7049,0.6213,0.464,0.1478,0.1365,0.1636,0.1643,0.1264,0.2009,0.1624,0.1374,0.1379,0.2008,0.1549,0.1869,0.1506,0.2658,0.2434,0.1958,0.2275,0.0754,0.0612,0.039,0.0414,0.0737,0.0776,0.0735,0.0717,0.0775,0.0689,0.0834,0.0843,0.0816,0.0829,0.0759,0.0705,0.0669,0.052,0.0474,0.0501,0.0448,0.0384,0.0362,0.033,0.0337,0.0344,0.0412,0.041,0.0485,0.0424,0.0429,0.0451,0.0424,0.0393,0.0668,0.0626,0.0599,0.0577,0.0836,0.0913,0.0947,0.09,0.0775,0.0468,0.0512,0.0635,0.0721,0.0899,0.0747,0.0788,0.0801,0.0905,0.0424,0.0439,0.0379,0.0404,0.0404,0.039,0.0405,0.0424,0.046,0.0464,0.0518,0.0386,0.0397,0.0334,0.0365,0.0422,0.0509,0.1468,0.1384,0.1253,0.1163,0.09,0.1443,0.1643,0.1583,0.1773,0.06,0.0643,0.0582,0.0471,0.0367,0.0449,0.0431,0.0561,0.1252,0.1227,0.1435,0.1442,0.079,0.0795,0.0774,0.1,0.0488,0.0258,0.0294,0.0297,0.0325,0.0515,0.051,0.0549,0.0769,0.0862,0.1013,0.1041,0.1335,0.1649,0.1599,0.105,0.106,0.108,0.093,0.0977,0.0914,0.0955,0.0933,12.179,13.709,11.021,13.518,14.741,21.889,24.36,28.467,28.302,13.512,12.423,14.529,13.789,0.9111,11.161,13.166,11.29,0.3302,0.3512,0.3456,0.3636,0.6339,13.357,11.713,12.15,13.166,14.772,13.855,12.517,14.209,11.013,12.004,11.768,11.633,16.207,21.72,14.631,14.014,16.581,20.505,19.205,15.434,14.232,22.656,21.765,21.646,19.547,20.045,26.354,23.719,22.985,22.488,10.451,0.9533,10.58,0.9961,0.8859,0.8642,11.812,12.922,10.708,10.596,11.249,0.7898,0.9031,11.529,11.551
Chainlink (LINK),,,,,,,,,,,,,,,,,,,,,0.29,0.4,0.49,0.48,0.56,0.27,0.27,0.32,0.33,0.24,0.19,0.28,0.29,0.37,0.41,0.68,0.65,0.65,,,,,0.25,0.19,0.21,0.28,0.25,0.3,0.22,0.19,0.22,0.47,0.41,0.42,0.29,0.47,0.46,0.37,0.36,0.51,0.49,0.28,0.33,0.33,0.38,0.45,0.54,0.24,0.26,0.33,0.35,0.34,0.53,0.5,0.45,0.5,2.33,2.4,2.17,1.78,2.04,1.99,1.86,1.87,1.82,0.47,0.44,0.46,0.42,0.41,0.48,0.47,0.41,3.17,2.64,2.25,2.41,1.14,1.71,1.84,3.72,3.47,0.47,0.47,0.46,0.49,0.58,0.69,0.94,1.11,0.95,2.8,2.99,2.42,2.24,2.59,2.35,2.74,2.7,1.77,1.56,1.89,1.68,1.96,3.29,3.78,3.79,3.82,12.72,19.17,15.87,16.42,10.6,12.22,13.47,10.97,12.21,3.42,4.3,4.11,4.06,2.28,2.77,2.44,2.84,6.1,7.97,7.67,8.32,4.11,4.18,4.41,4.82,4.35,2.14,2.27,2.14,2.32,4.02,3.76,3.93,4.17,4.35,11.75,12.54,15.45,13.09,13.17,10.52,10.62,12.7,11.23,12.72,10.12,10.3,9.27,31.92,39.93,31.2,41.18,24.69,27.15,27.84,25.72,29.89,19.91,19.54,22.1,20.75,34.18,34.0,26.17,28.16,17.55,20.14,24.79,23.63,25.01,18.2,15.35,16.75,22.68,21.66,20.31,16.95,18.72,29.75,29.63,26.85,29.31,48.61,41.44,23.27,25.36,27.12,34.0,28.35,24.09,20.7,27.44,27.19,31.39,29.75,32.04,26.98,28.39,24.5,26.91,15.43,14.0,15.94,15.52,14.7,14.03,25.32,25.18,15.87,16.2,17.76,13.15,15.01,15.85,17.39
Cronos (CRO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0833,0.0937,0.0724,0.07,0.051,0.0444,0.0429,0.0392,0.0297,0.0296,0.0343,0.0341,0.0345,0.0127,0.0123,0.0128,0.0124,,0.0147,0.0137,0.0125,0.084,0.0589,0.0566,0.0549,0.0694,0.0655,0.0612,0.0675,0.07,0.0205,0.0818,0.0665,0.0462,0.0489,0.0681,0.0692,0.0656,0.0683,0.0351,0.0349,0.0293,0.0271,0.0345,0.0327,0.0364,0.0377,0.041,0.0395,0.0385,0.035,0.035,0.0498,0.0518,0.0529,0.0594,0.1675,0.1665,0.1688,0.1733,0.1505,0.0592,0.0659,0.0592,0.0617,0.0596,0.0627,0.0591,0.052,0.0407,0.0472,0.0462,0.0531,0.1447,0.1453,0.1509,0.1743,0.1098,0.1193,0.1123,0.1284,0.0566,0.032,0.038,0.0425,0.0481,0.0666,0.0652,0.0749,0.0847,0.1043,0.0732,0.0675,0.0734,0.0651,0.0642,0.1541,0.1336,0.1021,0.085,0.1636,0.1677,0.1542,0.1466,0.2151,0.2352,0.1659,0.194,0.1421,0.1498,0.1548,0.1558,0.1714,0.5768,0.526,0.6443,0.585,0.0927,0.138,0.1493,0.1531,0.0824,0.0766,0.0726,0.0659,0.0685,0.1183,0.1117,0.1129,0.1293,0.1122,0.1079,0.0955,0.1182,0.1968,0.2127,0.2012,0.2025,0.181,0.1535,0.1175,0.1112,0.1189,0.3855,0.5756,0.776,0.6067,0.1925,0.1893,0.1923,0.214,0.3363,0.1779,0.1902,0.1575,0.174,0.4449,0.4062,0.4864,0.4365,0.4136,0.4096,0.4535,0.4672,0.3375,0.4324,0.448,0.388,0.418,0.4577,0.4787
Decentraland (MANA),,,,,,,,,,,,,,,,,,,,,0.0724,0.0975,0.1168,0.1543,0.1757,0.0807,0.0709,0.0684,0.0811,0.0581,0.0422,0.0558,0.0473,0.0452,0.1142,0.1386,0.1045,0.1123,,,,,0.1001,0.0926,0.1258,0.131,0.0927,0.105,0.1002,0.0948,0.0851,0.0791,0.0857,0.0927,0.07,0.123,0.1247,0.0939,0.1062,0.0979,0.0821,0.0548,0.0632,0.0688,0.0712,0.0781,0.078,0.0568,0.0718,0.0775,0.0755,0.0761,0.0553,0.057,0.0502,0.0484,0.0396,0.0355,0.0379,0.032,0.0249,0.0252,0.0294,0.035,0.0356,0.0352,0.0378,0.0396,0.0417,0.0381,0.041,0.0401,0.0342,0.0462,0.0471,0.0411,0.0403,0.0585,0.0586,0.0556,0.0503,0.0518,0.0468,0.0487,0.0503,0.057,0.0591,0.0502,0.0549,0.0593,0.0591,0.0304,0.0289,0.0233,0.0254,0.0318,0.0293,0.0326,0.0314,0.032,0.0317,0.0337,0.0273,0.0305,0.0265,0.0298,0.0291,0.0365,0.1027,0.0985,0.097,0.1093,0.0785,0.0827,0.0921,0.0788,0.0796,0.0562,0.0573,0.0509,0.0368,0.0314,0.0373,0.0336,0.036,0.0406,0.0395,0.0464,0.0465,0.0429,0.0422,0.0369,0.0392,0.0439,0.023,0.0246,0.0241,0.0263,0.0374,0.036,0.0394,0.0404,0.0415,0.0748,0.0793,0.0871,0.0833,0.092,0.0799,0.0738,0.0746,0.0646,0.0849,0.0807,0.0801,0.0751,10.148,15.199,11.052,14.6,0.7725,0.8385,0.8764,0.9224,10.542,34.699,34.342,37.447,33.472,0.3448,0.3019,0.253,0.3589,0.1155,0.1088,0.1932,0.1577,0.2359,0.7492,0.6029,0.7026,0.72,0.6555,0.6312,0.47,0.5604,0.9709,0.8922,0.9255,0.9433,14.443,12.039,0.7581,0.7454,0.8172,32.439,40.151,47.038,41.157,0.8399,0.8093,0.7938,36.047,28.108,0.8306,0.8223,0.693,0.752,23.396,21.282,29.073,28.873,26.805,25.596,29.333,29.89,20.421,23.71,30.149,23.096,25.058,26.176,26.377
